Branch,Category,Jee_Rank,Region,Round
Computer Science and Engineering with specialization in Big Data Analytics,GEN,18325,D,1
Computer Science and Engineering with specialization in Internet of Things,GEN,21814,D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,30696,D,1
Computer Science and Engineering with specialization in Big Data Analytics,GEN,3165,OD,1
Computer Science and Engineering with specialization in Internet of Things,GEN,4068,OD,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,6122,OD,1
Computer Science and Engineering with specialization in Big Data Analytics,GEN,24107,D,2
Computer Science and Engineering with specialization in Internet of Things,GEN,28250,D,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,36205,D,2
Computer Science and Engineering with specialization in Big Data Analytics,GEN,5180,OD,2
Computer Science and Engineering with specialization in Internet of Things,GEN,6357,OD,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,7190,OD,2
Computer Science and Engineering with specialization in Big Data Analytics,GEN,27763,D,3
Computer Science and Engineering with specialization in Internet of Things,GEN,32287,D,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,43904,D,3
Computer Science and Engineering with specialization in Big Data Analytics,GEN,7110,OD,3
Computer Science and Engineering with specialization in Internet of Things,GEN,7992,OD,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,8556,OD,3
Computer Science and Engineering with specialization in Big Data Analytics,GEN,31902,D,4
Computer Science and Engineering with specialization in Internet of Things,GEN,38002,D,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,58192,D,4
Computer Science and Engineering with specialization in Big Data Analytics,GEN,9078,OD,4
Computer Science and Engineering with specialization in Internet of Things,GEN,9660,OD,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,10484,OD,4
Computer Science and Engineering with specialization in Big Data Analytics,GEN,32992,D,U1
Computer Science and Engineering with specialization in Internet of Things,GEN,44812,D,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,68261,D,U1
Computer Science and Engineering with specialization in Big Data Analytics,GEN,18894,OD,U1
Computer Science and Engineering with specialization in Internet of Things,GEN,23670,OD,U1
Computer Science and Engineering with specialization in Big Data Analytics,GEN,32992,D,S
Computer Science and Engineering with specialization in Internet of Things,GEN,44812,D,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,68741,D,S
Computer Science and Engineering with specialization in Big Data Analytics,GEN,23971,OD,S
Computer Science and Engineering with specialization in Internet of Things,GEN,56117,OD,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN,126166,OD,S
Computer Science and Engineering with specialization in Big Data Analytics,GEN-DEF,21945,D,1
Computer Science and Engineering with specialization in Internet of Things,GEN-DEF,47266,D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-DEF,61613,D,1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-DEF,51630,OD,1
Computer Science and Engineering with specialization in Big Data Analytics,GEN-DEF,47266,D,2
Computer Science and Engineering with specialization in Internet of Things,GEN-DEF,44033,D,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-DEF,79298,D,2
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-DEF,51630,OD,2
Computer Science and Engineering with specialization in Big Data Analytics,GEN-DEF,47266,D,3
Computer Science and Engineering with specialization in Internet of Things,GEN-DEF,44033,D,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-DEF,92129,D,3
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-DEF,813677,OD,3
Computer Science and Engineering with specialization in Big Data Analytics,GEN-DEF,47266,D,4
Computer Science and Engineering with specialization in Internet of Things,GEN-DEF,49823,D,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-DEF,100966,D,4
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-DEF,813677,OD,4
Computer Science and Engineering with specialization in Big Data Analytics,GEN-DEF,47266,D,U1
Computer Science and Engineering with specialization in Internet of Things,GEN-DEF,103487,D,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-DEF,126612,D,U1
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-DEF,813677,OD,U1
Computer Science and Engineering with specialization in Big Data Analytics,GEN-DEF,47266,D,S
Computer Science and Engineering with specialization in Internet of Things,GEN-DEF,103487,D,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-DEF,126612,D,S
Electronics and Communication Engineering with specialization in Artificial Intelligence and Machine Learning,GEN-DEF,813677,OD,S
Computer Science and Engineering with specialization in Big Data Analytics,GEN-SGC,28003,D,1
